trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,0,-167.30857467195878,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",30,0,-53.96026562941432,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,7,-55.408653858317585,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 1}",1
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,8,-3.238731826610733,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-108.2038300281722,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-78.90105005038626,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,0,-26.66835375975849,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-40.25552984086764,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,2,-45.356728105137414,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,0,-73.54273956372231,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109433}",20,6,-77.99343626021621,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 1}",1
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-47.67338150660398,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",20,2,-70.30042181908885,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",20,0,-70.88468694507445,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.689498432951747}",20,0,-43.67715192987686,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",30,0,-41.02789115489675,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",25,5,2.2028748770477145,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",20,10,-5.706150497344689,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-27.16467064438484,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,0,-42.47256037600657,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,0,-85.69259121551599,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-16.864187001876978,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,4,1.3710995712818634,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",25,0,-68.36376653176052,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",30,0,-134.3941986346334,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",25,0,-37.21829821968681,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",30,20,-11.968687441953886,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,0,1.1423811792990364,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
